algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
2008064,518506,717038,236728,1000000,100000,33220,10000
2077348,342651,467035,88285,3375000,225000,58604,15000
6839844,570989,704333,103004,8000000,400000,86439,20000
941135,1137558,1381257,114009,15625000,625000,116097,25000
1560719,1858793,2147501,180501,27000000,900000,147207,30000
1905356,220532,2040697,268819,42875000,1225000,179525,35000
2441094,273405,1093257,370755,64000000,1600000,212878,40000
3323207,335632,525754,398626,91125000,2025000,247134,45000
4046394,407259,517667,63667,125000000,2500000,282193,50000
5169533,495923,605331,83659,166375000,3025000,317975,55000
6264945,771821,751420,84179,216000000,3600000,354414,60000
7683944,767372,964320,64107,274625000,4225000,391454,65000
9465991,864607,1033744,82752,343000000,4900000,429050,70000
11220303,859942,999926,96875,421875000,5625000,467162,75000
13257225,999068,1179159,79819,512000000,6400000,505755,80000
15442867,1279835,1537246,84481,614125000,7225000,544799,85000
17923126,1271384,1380511,104492,729000000,8100000,584267,90000
20962551,1354282,1638162,80701,857375000,9025000,624137,95000
28152694,1828978,1883967,90932,1000000000,10000000,664386,100000
